lab	shootfreshweight	condition	rep	geno	lab1
NC	0.0397	A	IV	col0	col0_NC
NC	0.0219	A	IV	col0	col0_NC
NC	0.0368	A	IV	col0	col0_NC
NC	0.0399	A	IV	col0	col0_NC
NC	0.0359	A	IV	col0	col0_NC
NC	0.0345	A	IV	col0	col0_NC
NC	0.0299	A	IV	col0	col0_NC
NC	0.0368	A	IV	col0	col0_NC
NC	0.0351	A	IV	col0	col0_NC
SC	0.0106	C	IV	col0	col0_SC
SC	0.0066	C	IV	col0	col0_SC
SC	0.0092	C	IV	col0	col0_SC
SC	0.0101	C	IV	col0	col0_SC
SC	0.0069	C	IV	col0	col0_SC
SC	0.0086	C	IV	col0	col0_SC
SC	0.0074	C	IV	col0	col0_SC
SC	0.0093	C	IV	col0	col0_SC
SC	0.0118	C	IV	col0	col0_SC
NC	0.0314	A	IV	dde2	dde2_NC
NC	0.0372	A	IV	dde2	dde2_NC
NC	0.0543	A	IV	dde2	dde2_NC
NC	0.043	A	IV	dde2	dde2_NC
NC	0.0468	A	IV	dde2	dde2_NC
NC	0.0357	A	IV	dde2	dde2_NC
NC	0.0568	A	IV	dde2	dde2_NC
NC	0.0539	A	IV	dde2	dde2_NC
NC	0.0229	A	IV	dde2	dde2_NC
SC	0.0277	C	IV	dde2	dde2_SC
SC	0.021	C	IV	dde2	dde2_SC
SC	0.0268	C	IV	dde2	dde2_SC
SC	0.0172	C	IV	dde2	dde2_SC
SC	0.019	C	IV	dde2	dde2_SC
SC	0.016	C	IV	dde2	dde2_SC
SC	0.0284	C	IV	dde2	dde2_SC
SC	0.0184	C	IV	dde2	dde2_SC
SC	0.0238	C	IV	dde2	dde2_SC
NC	0.0293	A	IV	bri1	bri1_NC
NC	0.0264	A	IV	bri1	bri1_NC
NC	0.0259	A	IV	bri1	bri1_NC
NC	0.0274	A	IV	bri1	bri1_NC
NC	0.0236	A	IV	bri1	bri1_NC
NC	0.0352	A	IV	bri1	bri1_NC
NC	0.0467	A	IV	bri1	bri1_NC
NC	0.033	A	IV	bri1	bri1_NC
NC	0.026	A	IV	bri1	bri1_NC
SC	0.0061	C	IV	bri1	bri1_SC
SC	0.0093	C	IV	bri1	bri1_SC
SC	0.0063	C	IV	bri1	bri1_SC
SC	0.0072	C	IV	bri1	bri1_SC
SC	0.0072	C	IV	bri1	bri1_SC
SC	0.0054	C	IV	bri1	bri1_SC
SC	0.0103	C	IV	bri1	bri1_SC
SC	0.0092	C	IV	bri1	bri1_SC
SC	0.0085	C	IV	bri1	bri1_SC
NC	0.0374	A	IV	sav	sav_NC
NC	0.0287	A	IV	sav	sav_NC
NC	0.0392	A	IV	sav	sav_NC
NC	0.0302	A	IV	sav	sav_NC
NC	0.0302	A	IV	sav	sav_NC
NC	0.0314	A	IV	sav	sav_NC
NC	0.0442	A	IV	sav	sav_NC
NC	0.0411	A	IV	sav	sav_NC
NC	0.0313	A	IV	sav	sav_NC
SC	0.0202	C	IV	sav	sav_SC
SC	0.0143	C	IV	sav	sav_SC
SC	0.0106	C	IV	sav	sav_SC
SC	0.0222	C	IV	sav	sav_SC
SC	0.0229	C	IV	sav	sav_SC
SC	0.0171	C	IV	sav	sav_SC
SC	0.015	C	IV	sav	sav_SC
SC	0.02	C	IV	sav	sav_SC
SC	0.0184	C	IV	sav	sav_SC
NC_M	0.0734	B	IV	col0	col0_NC_M
NC_M	0.0685	B	IV	col0	col0_NC_M
NC_M	0.0443	B	IV	col0	col0_NC_M
NC_M	0.0073	B	IV	col0	col0_NC_M
NC_M	0.0405	B	IV	col0	col0_NC_M
NC_M	0.0146	B	IV	col0	col0_NC_M
NC_M	0.0326	B	IV	col0	col0_NC_M
NC_M	0.0131	B	IV	col0	col0_NC_M
NC_M	0.0101	B	IV	col0	col0_NC_M
SC_M	0.0292	D	IV	col0	col0_SC_M
SC_M	0.0214	D	IV	col0	col0_SC_M
SC_M	0.0225	D	IV	col0	col0_SC_M
SC_M	0.0242	D	IV	col0	col0_SC_M
SC_M	0.013	D	IV	col0	col0_SC_M
SC_M	0.0147	D	IV	col0	col0_SC_M
SC_M	0.0244	D	IV	col0	col0_SC_M
SC_M	0.0126	D	IV	col0	col0_SC_M
SC_M	0.0099	D	IV	col0	col0_SC_M
NC_M	0.0246	B	IV	dde2	dde2_NC_M
NC_M	0.0574	B	IV	dde2	dde2_NC_M
NC_M	0.0153	B	IV	dde2	dde2_NC_M
NC_M	0.0807	B	IV	dde2	dde2_NC_M
NC_M	0.0297	B	IV	dde2	dde2_NC_M
NC_M	0.0173	B	IV	dde2	dde2_NC_M
NC_M	0.0485	B	IV	dde2	dde2_NC_M
NC_M	0.0244	B	IV	dde2	dde2_NC_M
NC_M	0.0176	B	IV	dde2	dde2_NC_M
SC_M	0.0284	D	IV	dde2	dde2_SC_M
SC_M	0.0207	D	IV	dde2	dde2_SC_M
SC_M	0.0095	D	IV	dde2	dde2_SC_M
SC_M	0.0203	D	IV	dde2	dde2_SC_M
SC_M	0.0095	D	IV	dde2	dde2_SC_M
SC_M	0.0157	D	IV	dde2	dde2_SC_M
SC_M	0.0114	D	IV	dde2	dde2_SC_M
SC_M	0.0119	D	IV	dde2	dde2_SC_M
SC_M	0.0106	D	IV	dde2	dde2_SC_M
NC_M	0.0367	B	IV	bri1	bri1_NC_M
NC_M	0.0305	B	IV	bri1	bri1_NC_M
NC_M	0.0298	B	IV	bri1	bri1_NC_M
NC_M	0.0395	B	IV	bri1	bri1_NC_M
NC_M	0.0293	B	IV	bri1	bri1_NC_M
NC_M	0.0107	B	IV	bri1	bri1_NC_M
NC_M	0.0376	B	IV	bri1	bri1_NC_M
NC_M	0.0166	B	IV	bri1	bri1_NC_M
NC_M	0.0186	B	IV	bri1	bri1_NC_M
SC_M	0.007	D	IV	bri1	bri1_SC_M
SC_M	0.0069	D	IV	bri1	bri1_SC_M
SC_M	0.0054	D	IV	bri1	bri1_SC_M
SC_M	0.0065	D	IV	bri1	bri1_SC_M
SC_M	0.005	D	IV	bri1	bri1_SC_M
SC_M	0.0042	D	IV	bri1	bri1_SC_M
SC_M	0.0047	D	IV	bri1	bri1_SC_M
SC_M	0.0042	D	IV	bri1	bri1_SC_M
SC_M	0.0019	D	IV	bri1	bri1_SC_M
NC_M	0.0846	B	IV	sav	sav_NC_M
NC_M	0.0191	B	IV	sav	sav_NC_M
NC_M	0.0235	B	IV	sav	sav_NC_M
NC_M	0.036	B	IV	sav	sav_NC_M
NC_M	0.0165	B	IV	sav	sav_NC_M
NC_M	0.0219	B	IV	sav	sav_NC_M
NC_M	0.051	B	IV	sav	sav_NC_M
NC_M	0.0741	B	IV	sav	sav_NC_M
NC_M	0.0212	B	IV	sav	sav_NC_M
SC_M	0.0145	D	IV	sav	sav_SC_M
SC_M	0.015	D	IV	sav	sav_SC_M
SC_M	0.0112	D	IV	sav	sav_SC_M
SC_M	0.0214	D	IV	sav	sav_SC_M
SC_M	0.0169	D	IV	sav	sav_SC_M
SC_M	0.0086	D	IV	sav	sav_SC_M
SC_M	0.0155	D	IV	sav	sav_SC_M
SC_M	0.018	D	IV	sav	sav_SC_M
SC_M	0.0081	D	IV	sav	sav_SC_M
NC	0.0643	A	III	col0	col0_NC
NC	0.0552	A	III	col0	col0_NC
NC	0.0451	A	III	col0	col0_NC
NC	0.0601	A	III	col0	col0_NC
NC	0.0448	A	III	col0	col0_NC
NC	0.0552	A	III	col0	col0_NC
NC	0.0448	A	III	col0	col0_NC
NC	0.0352	A	III	col0	col0_NC
NC	0.0248	A	III	col0	col0_NC
SC	0.0061	C	III	col0	col0_SC
SC	0.0064	C	III	col0	col0_SC
SC	0.0063	C	III	col0	col0_SC
SC	0.0059	C	III	col0	col0_SC
SC	0.0058	C	III	col0	col0_SC
SC	0.0066	C	III	col0	col0_SC
SC	0.0045	C	III	col0	col0_SC
SC	0.0062	C	III	col0	col0_SC
SC	0.0023	C	III	col0	col0_SC
NC_M	0.0697	B	III	col0	col0_NC_M
NC_M	0.0502	B	III	col0	col0_NC_M
NC_M	0.066	B	III	col0	col0_NC_M
NC_M	0.0537	B	III	col0	col0_NC_M
NC_M	0.055	B	III	col0	col0_NC_M
NC_M	0.0415	B	III	col0	col0_NC_M
NC_M	0.0573	B	III	col0	col0_NC_M
NC_M	0.0254	B	III	col0	col0_NC_M
NC_M	0.0347	B	III	col0	col0_NC_M
SC_M	0.086	D	III	col0	col0_SC_M
SC_M	0.0433	D	III	col0	col0_SC_M
SC_M	0.0413	D	III	col0	col0_SC_M
SC_M	0.0617	D	III	col0	col0_SC_M
SC_M	0.0462	D	III	col0	col0_SC_M
SC_M	0.002	D	III	col0	col0_SC_M
SC_M	0.0733	D	III	col0	col0_SC_M
SC_M	0.0235	D	III	col0	col0_SC_M
SC_M	0.0351	D	III	col0	col0_SC_M
NC	0.0661	A	III	cry1cry2	cry1cry2_NC
NC	0.0505	A	III	cry1cry2	cry1cry2_NC
NC	0.0929	A	III	cry1cry2	cry1cry2_NC
NC	0.0767	A	III	cry1cry2	cry1cry2_NC
NC	0.0497	A	III	cry1cry2	cry1cry2_NC
NC	0.0475	A	III	cry1cry2	cry1cry2_NC
NC	0.0667	A	III	cry1cry2	cry1cry2_NC
NC	0.0497	A	III	cry1cry2	cry1cry2_NC
NC	0.0575	A	III	cry1cry2	cry1cry2_NC
SC	0.0098	C	III	cry1cry2	cry1cry2_SC
SC	0.0082	C	III	cry1cry2	cry1cry2_SC
SC	0.0091	C	III	cry1cry2	cry1cry2_SC
SC	0.0114	C	III	cry1cry2	cry1cry2_SC
SC	0.0105	C	III	cry1cry2	cry1cry2_SC
SC	0.0097	C	III	cry1cry2	cry1cry2_SC
SC	0.0105	C	III	cry1cry2	cry1cry2_SC
SC	0.0091	C	III	cry1cry2	cry1cry2_SC
SC	0.0071	C	III	cry1cry2	cry1cry2_SC
NC_M	0.0826	B	III	cry1cry2	cry1cry2_NC_M
NC_M	0.0399	B	III	cry1cry2	cry1cry2_NC_M
NC_M	0.1433	B	III	cry1cry2	cry1cry2_NC_M
NC_M	0.1219	B	III	cry1cry2	cry1cry2_NC_M
NC_M	0.1074	B	III	cry1cry2	cry1cry2_NC_M
NC_M	0.0941	B	III	cry1cry2	cry1cry2_NC_M
NC_M	0.0156	B	III	cry1cry2	cry1cry2_NC_M
NC_M	0.0376	B	III	cry1cry2	cry1cry2_NC_M
NC_M	0.0265	B	III	cry1cry2	cry1cry2_NC_M
SC_M	0.0046	D	III	cry1cry2	cry1cry2_SC_M
SC_M	0.0054	D	III	cry1cry2	cry1cry2_SC_M
SC_M	0.007	D	III	cry1cry2	cry1cry2_SC_M
SC_M	0.0036	D	III	cry1cry2	cry1cry2_SC_M
SC_M	0.0034	D	III	cry1cry2	cry1cry2_SC_M
SC_M	0.0044	D	III	cry1cry2	cry1cry2_SC_M
SC_M	0.0032	D	III	cry1cry2	cry1cry2_SC_M
SC_M	0.0021	D	III	cry1cry2	cry1cry2_SC_M
SC_M	0.0033	D	III	cry1cry2	cry1cry2_SC_M
NC	0.0368	A	II	col0	col0_NC
NC	0.0309	A	II	col0	col0_NC
NC	0.0547	A	II	col0	col0_NC
NC	0.0238	A	II	col0	col0_NC
NC	0.0145	A	II	col0	col0_NC
NC	0.0221	A	II	col0	col0_NC
NC	0.0293	A	II	col0	col0_NC
NC	0.0145	A	II	col0	col0_NC
NC	0.0112	A	II	col0	col0_NC
SC	0.0131	C	II	col0	col0_SC
SC	0.0107	C	II	col0	col0_SC
SC	0.0156	C	II	col0	col0_SC
SC	0.0122	C	II	col0	col0_SC
SC	0.0041	C	II	col0	col0_SC
SC	0.0051	C	II	col0	col0_SC
SC	0.0157	C	II	col0	col0_SC
SC	0.0109	C	II	col0	col0_SC
SC	0.0095	C	II	col0	col0_SC
NC	0.0193	A	II	dde2	dde2_NC
NC	0.0174	A	II	dde2	dde2_NC
NC	0.0163	A	II	dde2	dde2_NC
NC	0.0343	A	II	dde2	dde2_NC
NC	0.026	A	II	dde2	dde2_NC
NC	0.00258	A	II	dde2	dde2_NC
NC	0.0193	A	II	dde2	dde2_NC
NC	0.0112	A	II	dde2	dde2_NC
NC	0.0086	A	II	dde2	dde2_NC
SC	0.0101	C	II	dde2	dde2_SC
SC	0.0111	C	II	dde2	dde2_SC
SC	0.01	C	II	dde2	dde2_SC
SC	0.012	C	II	dde2	dde2_SC
SC	0.0092	C	II	dde2	dde2_SC
SC	0.0083	C	II	dde2	dde2_SC
SC	0.0116	C	II	dde2	dde2_SC
SC	0.0121	C	II	dde2	dde2_SC
SC	0.0075	C	II	dde2	dde2_SC
NC	0.0233	A	II	della	della_NC
NC	0.0246	A	II	della	della_NC
NC	0.0206	A	II	della	della_NC
NC	0.0348	A	II	della	della_NC
NC	0.0207	A	II	della	della_NC
NC	0.0108	A	II	della	della_NC
NC	0.0296	A	II	della	della_NC
NC	0.0304	A	II	della	della_NC
NC	0.0136	A	II	della	della_NC
SC	0.0122	C	II	della	della_SC
SC	0.0066	C	II	della	della_SC
SC	0.0071	C	II	della	della_SC
SC	0.0059	C	II	della	della_SC
SC	0.0068	C	II	della	della_SC
SC	0.0055	C	II	della	della_SC
SC	0.0105	C	II	della	della_SC
SC	0.0122	C	II	della	della_SC
SC	0.0089	C	II	della	della_SC
NC	0.0182	A	II	jazq	jazq_NC
NC	0.0301	A	II	jazq	jazq_NC
NC	0.0177	A	II	jazq	jazq_NC
NC	0.0261	A	II	jazq	jazq_NC
NC	0.0281	A	II	jazq	jazq_NC
NC	0.0098	A	II	jazq	jazq_NC
NC	0.0189	A	II	jazq	jazq_NC
NC	0.0209	A	II	jazq	jazq_NC
NC	0.0188	A	II	jazq	jazq_NC
SC	0.0051	C	II	jazq	jazq_SC
SC	0.0064	C	II	jazq	jazq_SC
SC	0.0046	C	II	jazq	jazq_SC
SC	0.0041	C	II	jazq	jazq_SC
SC	0.0061	C	II	jazq	jazq_SC
SC	0.0048	C	II	jazq	jazq_SC
SC	0.0035	C	II	jazq	jazq_SC
SC	0.0027	C	II	jazq	jazq_SC
SC	0.0024	C	II	jazq	jazq_SC
NC_M	0.0524	B	II	col0	col0_NC_M
NC_M	0.034	B	II	col0	col0_NC_M
NC_M	0.0286	B	II	col0	col0_NC_M
NC_M	0.0541	B	II	col0	col0_NC_M
NC_M	0.0328	B	II	col0	col0_NC_M
NC_M	0.027	B	II	col0	col0_NC_M
NC_M	0.0442	B	II	col0	col0_NC_M
NC_M	0.0206	B	II	col0	col0_NC_M
NC_M	0.0178	B	II	col0	col0_NC_M
SC_M	0.0293	D	II	col0	col0_SC_M
SC_M	0.0134	D	II	col0	col0_SC_M
SC_M	0.0123	D	II	col0	col0_SC_M
SC_M	0.0238	D	II	col0	col0_SC_M
SC_M	0.0239	D	II	col0	col0_SC_M
SC_M	0.0253	D	II	col0	col0_SC_M
SC_M	0.0167	D	II	col0	col0_SC_M
SC_M	0.0121	D	II	col0	col0_SC_M
SC_M	0.0098	D	II	col0	col0_SC_M
NC_M	0.046	B	II	dde2	dde2_NC_M
NC_M	0.0309	B	II	dde2	dde2_NC_M
NC_M	0.0221	B	II	dde2	dde2_NC_M
NC_M	0.0972	B	II	dde2	dde2_NC_M
NC_M	0.0424	B	II	dde2	dde2_NC_M
NC_M	0.0121	B	II	dde2	dde2_NC_M
NC_M	0.024	B	II	dde2	dde2_NC_M
NC_M	0.0188	B	II	dde2	dde2_NC_M
NC_M	0.0167	B	II	dde2	dde2_NC_M
SC_M	0.0081	D	II	dde2	dde2_SC_M
SC_M	0.0084	D	II	dde2	dde2_SC_M
SC_M	0.0045	D	II	dde2	dde2_SC_M
SC_M	0.0182	D	II	dde2	dde2_SC_M
SC_M	0.0212	D	II	dde2	dde2_SC_M
SC_M	0.0067	D	II	dde2	dde2_SC_M
SC_M	0.0196	D	II	dde2	dde2_SC_M
SC_M	0.0172	D	II	dde2	dde2_SC_M
SC_M	0.014	D	II	dde2	dde2_SC_M
NC_M	0.0238	B	II	della	della_NC_M
NC_M	0.0709	B	II	della	della_NC_M
NC_M	0.0578	B	II	della	della_NC_M
NC_M	0.0377	B	II	della	della_NC_M
NC_M	0.0725	B	II	della	della_NC_M
NC_M	0.0692	B	II	della	della_NC_M
NC_M	0.0459	B	II	della	della_NC_M
NC_M	0.0408	B	II	della	della_NC_M
NC_M	0.0661	B	II	della	della_NC_M
SC_M	0.0174	D	II	della	della_SC_M
SC_M	0.0603	D	II	della	della_SC_M
SC_M	0.0241	D	II	della	della_SC_M
SC_M	0.0211	D	II	della	della_SC_M
SC_M	0.0275	D	II	della	della_SC_M
SC_M	0.0541	D	II	della	della_SC_M
SC_M	0.0351	D	II	della	della_SC_M
SC_M	0.0248	D	II	della	della_SC_M
SC_M	0.041	D	II	della	della_SC_M
NC_M	0.0256	B	II	jazq	jazq_NC_M
NC_M	0.0107	B	II	jazq	jazq_NC_M
NC_M	0	B	II	jazq	jazq_NC_M
NC_M	0.0073	B	II	jazq	jazq_NC_M
NC_M	0.0389	B	II	jazq	jazq_NC_M
NC_M	0	B	II	jazq	jazq_NC_M
NC_M	0.0356	B	II	jazq	jazq_NC_M
NC_M	0.0216	B	II	jazq	jazq_NC_M
NC_M	0	B	II	jazq	jazq_NC_M
SC_M	0.0017	D	II	jazq	jazq_SC_M
SC_M	0	D	II	jazq	jazq_SC_M
SC_M	0	D	II	jazq	jazq_SC_M
SC_M	0	D	II	jazq	jazq_SC_M
SC_M	0	D	II	jazq	jazq_SC_M
SC_M	0	D	II	jazq	jazq_SC_M
SC_M	0	D	II	jazq	jazq_SC_M
SC_M	0	D	II	jazq	jazq_SC_M
SC_M	0	D	II	jazq	jazq_SC_M
SC	0.0158	C	I	col0	col0_SC
SC	0.0166	C	I	col0	col0_SC
SC	0.0139	C	I	col0	col0_SC
SC	0.0145	C	I	col0	col0_SC
SC	0.0091	C	I	col0	col0_SC
SC	0.0087	C	I	col0	col0_SC
SC	0.0178	C	I	col0	col0_SC
SC	0.0154	C	I	col0	col0_SC
SC	0.0056	C	I	col0	col0_SC
SC	0.0155	C	I	col0	col0_SC
SC	0.0137	C	I	col0	col0_SC
SC	0.0087	C	I	col0	col0_SC
SC_M	0.0569	D	I	col0	col0_SC_M
SC_M	0.0431	D	I	col0	col0_SC_M
SC_M	0.0555	D	I	col0	col0_SC_M
SC_M	0.0332	D	I	col0	col0_SC_M
SC_M	0.0332	D	I	col0	col0_SC_M
SC_M	0.0281	D	I	col0	col0_SC_M
