lab	canopysize	rep	geno	light	lab1
NC	1.904	V	myc2	NC	NC_myc2
NC	3.887	V	myc2	NC	NC_myc2
NC	3.058	V	myc2	NC	NC_myc2
NC	3.986	V	myc2	NC	NC_myc2
NC	2.031	V	myc2	NC	NC_myc2
NC	2.381	V	myc2	NC	NC_myc2
NC	2.052	V	myc2	NC	NC_myc2
NC	4.044	V	myc2	NC	NC_myc2
NC	1.6	V	myc2	NC	NC_myc2
NC+M	1.472	V	myc2	NC	NC+M_myc2
NC+M	2.634	V	myc2	NC	NC+M_myc2
NC+M	4.405	V	myc2	NC	NC+M_myc2
NC+M	2.323	V	myc2	NC	NC+M_myc2
NC+M	4.432	V	myc2	NC	NC+M_myc2
NC+M	3.646	V	myc2	NC	NC+M_myc2
NC+M	1.045	V	myc2	NC	NC+M_myc2
NC+M	2.213	V	myc2	NC	NC+M_myc2
NC+M	2.538	V	myc2	NC	NC+M_myc2
LP	0.933	V	myc2	LP	LP_myc2
LP	1.782	V	myc2	LP	LP_myc2
LP	1.287	V	myc2	LP	LP_myc2
LP	1.364	V	myc2	LP	LP_myc2
LP	1.503	V	myc2	LP	LP_myc2
LP	1.196	V	myc2	LP	LP_myc2
LP	1.323	V	myc2	LP	LP_myc2
LP	0.671	V	myc2	LP	LP_myc2
LP	1.69	V	myc2	LP	LP_myc2
LP+M	1.224	V	myc2	LP	LP+M_myc2
LP+M	1.343	V	myc2	LP	LP+M_myc2
LP+M	0.968	V	myc2	LP	LP+M_myc2
LP+M	0.677	V	myc2	LP	LP+M_myc2
LP+M	1.02	V	myc2	LP	LP+M_myc2
LP+M	0.771	V	myc2	LP	LP+M_myc2
LP+M	1.177	V	myc2	LP	LP+M_myc2
LP+M	1.527	V	myc2	LP	LP+M_myc2
LP+M	1.296	V	myc2	LP	LP+M_myc2
NC	4.429	VI	myc2	NC	NC_myc2
NC	4.843	VI	myc2	NC	NC_myc2
NC	3.081	VI	myc2	NC	NC_myc2
NC	2.534	VI	myc2	NC	NC_myc2
NC	2.652	VI	myc2	NC	NC_myc2
NC	4.772	VI	myc2	NC	NC_myc2
NC	2.917	VI	myc2	NC	NC_myc2
NC	3.814	VI	myc2	NC	NC_myc2
NC	3.703	VI	myc2	NC	NC_myc2
NC+M	4.147	VI	myc2	NC	NC+M_myc2
NC+M	3.488	VI	myc2	NC	NC+M_myc2
NC+M	4.647	VI	myc2	NC	NC+M_myc2
NC+M	5.476	VI	myc2	NC	NC+M_myc2
NC+M	4.159	VI	myc2	NC	NC+M_myc2
NC+M	2.808	VI	myc2	NC	NC+M_myc2
NC+M	4.685	VI	myc2	NC	NC+M_myc2
NC+M	3.014	VI	myc2	NC	NC+M_myc2
NC+M	2.703	VI	myc2	NC	NC+M_myc2
LP	2.024	VI	myc2	LP	LP_myc2
LP	2.148	VI	myc2	LP	LP_myc2
LP	1.731	VI	myc2	LP	LP_myc2
LP	2.917	VI	myc2	LP	LP_myc2
LP	1.811	VI	myc2	LP	LP_myc2
LP	2.417	VI	myc2	LP	LP_myc2
LP	2.408	VI	myc2	LP	LP_myc2
LP	2.696	VI	myc2	LP	LP_myc2
LP	1.374	VI	myc2	LP	LP_myc2
LP+M	2.504	VI	myc2	LP	LP+M_myc2
LP+M	1.315	VI	myc2	LP	LP+M_myc2
LP+M	0.699	VI	myc2	LP	LP+M_myc2
LP+M	1.364	VI	myc2	LP	LP+M_myc2
LP+M	1.316	VI	myc2	LP	LP+M_myc2
LP+M	1.558	VI	myc2	LP	LP+M_myc2
LP+M	1.254	VI	myc2	LP	LP+M_myc2
LP+M	1.541	VI	myc2	LP	LP+M_myc2
LP+M	1.357	VI	myc2	LP	LP+M_myc2
NC	3.271	VIII	myc2	NC	NC_myc2
NC	3.121	VIII	myc2	NC	NC_myc2
NC	1.721	VIII	myc2	NC	NC_myc2
NC	2.4	VIII	myc2	NC	NC_myc2
NC	2.274	VIII	myc2	NC	NC_myc2
NC	1.971	VIII	myc2	NC	NC_myc2
NC	1.863	VIII	myc2	NC	NC_myc2
NC	1.664	VIII	myc2	NC	NC_myc2
NC	1.332	VIII	myc2	NC	NC_myc2
NC+M	3.126	VIII	myc2	NC	NC+M_myc2
NC+M	2.202	VIII	myc2	NC	NC+M_myc2
NC+M	2.704	VIII	myc2	NC	NC+M_myc2
NC+M	2.001	VIII	myc2	NC	NC+M_myc2
NC+M	2.858	VIII	myc2	NC	NC+M_myc2
NC+M	1.352	VIII	myc2	NC	NC+M_myc2
NC+M	1.53	VIII	myc2	NC	NC+M_myc2
NC+M	1.442	VIII	myc2	NC	NC+M_myc2
NC+M	2.266	VIII	myc2	NC	NC+M_myc2
LP	1.044	VIII	myc2	LP	LP_myc2
LP	0.719	VIII	myc2	LP	LP_myc2
LP	0.781	VIII	myc2	LP	LP_myc2
LP	1.243	VIII	myc2	LP	LP_myc2
